title,brand,reviews_rating_number,sell_amount,old_price_amount,old_price_cents,price_amount,price_cents,price_F,old_price_F,_source,_collected_at
Tênis Speed Preto Unissex Treino Academia E Caminhada Macio,SPEED,4.5,1000 ,74.0,70.0,0.0,0.0,0.0,74.7,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tenis Academia Caminhada Leve Bonito Resistente Lindo Crosfi,,4.6,5000 ,102.0,90.0,77.0,17.0,77.17,102.9,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Esportivo Masculino E Feminino Voa 2 Olympikus,OLYMPIKUS,4.9,1000 ,299.0,99.0,233.0,99.0,233.99,299.99,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Kit Tênis Esportivo It Shoes Masculino + Relógio Digital,,4.6,10000 ,229.0,90.0,104.0,40.0,104.4,229.9,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Corrida Masculino Confortável Challenger 5 - Olympikus,OLYMPIKUS,5.0,5 ,349.0,90.0,223.0,8.0,223.08,349.9,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Kit Tênis Masculino Caminhada+ Relógio+ Fone Touch Bluetooth,,4.5,5000 ,119.0,65.0,75.0,44.0,75.44,119.65,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis De Corrida Unissex Confortável Quicker 2 Under Armour,UNDER ARMOUR,4.9,50 ,519.0,90.0,337.0,93.0,337.93,519.9,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Esportivo Masculino Estilo 2 Olympikus,OLYMPIKUS,4.8,1000 ,259.0,99.0,202.0,39.0,202.39,259.99,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Kit 2 Tenis Masculino Academia Caminhada Corrida Musculação,,4.4,5000 ,115.0,99.0,0.0,0.0,0.0,115.99,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Para Academia Masculino Malhar Corrida Promoção,RDW,4.6,5000 ,87.0,79.0,29.0,26.0,29.26,87.79,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Esportivo Masculino Estilo 2 Olympikus,OLYMPIKUS,4.8,1000 ,259.0,99.0,202.0,39.0,202.39,259.99,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Esportivo Tribase Reps Under Armour,UNDER ARMOUR,4.8,1000 ,449.0,99.0,304.0,90.0,304.9,449.99,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Academia Masculino Corrida Caminhada Esporte Dia A Dia,,4.4,1000 ,67.0,90.0,59.0,1.0,59.01,67.9,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Branco Masculino Para Academia Esportivo Bf Shoes,BF SHOES,4.8,1000 ,159.0,90.0,74.0,92.0,74.92,159.9,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Masculino Esportivo Academia Ultra Leve Original Olimp,SAYMON,4.4,10000 ,90.0,76.0,69.0,10.0,69.1,90.76,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis De Corrida Masculino Duramo Rc2 M adidas,ADIDAS,4.8,500 ,349.0,99.0,314.0,99.0,314.99,349.99,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Esportivo Masculino Esportivo Caminhada Academia,,4.6,1000 ,95.0,13.0,67.0,89.0,67.89,95.13,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Masculino Repplay Prime Esportivo Caminhada Academia,REPPLAY,4.8,1000 ,199.0,99.0,99.0,99.0,99.99,199.99,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Masculino Esportivo Leve Confortável Original,ADRUN,4.8,1000 ,169.0,88.0,91.0,65.0,91.65,169.88,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Run Masculino Feminino Charged Quicker 2 Under Armour,UNDER ARMOUR,4.9,1000 ,499.0,99.0,339.0,90.0,339.9,499.99,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Masculino Meia S/ Cadarço Slip On Fácil Calça Academia,,4.7,5000 ,78.0,90.0,69.0,15.0,69.15,78.9,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
Tênis Masculino Corrida Número Especial 44-45-46-47-48,,4.6,1000 ,159.0,90.0,106.0,71.0,106.71,159.9,https://lista.mercadolivre.com.br/tenis-corrida-masculino,2026-01-09 10:57:10.997358
